waypoint,x,y
0,7.881748749082873e-18,0.0
1,0.4166666666653708,0.0
2,0.8333333333308944,0.0
3,1.249999999996707,0.0
4,1.6666666666629115,0.0
5,2.083333333329566,0.0
6,2.4999999999966755,0.0
7,2.9166666666641916,0.0
8,3.333333333332013,0.0
9,3.75,0.0
10,6.25,0.0
11,6.624999999988915,0.0
12,6.9999999999789155,0.0
13,7.374999999970977,0.0
14,7.749999999965871,0.0
15,8.124999999964096,0.0
16,8.49999999996583,0.0
17,8.87499999997091,0.0
18,9.249999999978847,0.0
19,9.624999999988873,0.0
20,10.0,0.0
