waypoint,x,y
0,0.0,0.0
1,0.5,0.11732584878017316
2,1.0,0.23176274578121053
3,1.5000000000000002,0.3404928748046601
4,2.0,0.44083893921935485
5,2.5,0.5303300858899106
6,3.0000000000000004,0.6067627457812106
7,3.5000000000000004,0.668254893141276
8,4.0,0.7132923872213651
9,4.5,0.7407662554463533
10,5.0,0.75
11,5.5,0.7407662554463532
12,6.000000000000001,0.7132923872213651
13,6.5,0.668254893141276
14,7.000000000000001,0.6067627457812106
15,7.5,0.5303300858899107
16,8.0,0.4408389392193549
17,8.5,0.34049287480465984
18,9.0,0.23176274578121064
19,9.5,0.11732584878017324
20,10.0,9.184850993605148e-17
