waypoint,x,y
0,7.908902067391406e-20,0.0
1,0.4166666666666666,0.0
2,0.833333333333333,0.0
3,1.2499999999999996,0.0
4,1.6666666666666663,0.0
5,2.0833333333333326,0.0
6,2.4999999999999996,0.0
7,2.9166666666666665,0.0
8,3.333333333333333,0.0
9,3.75,0.0
10,5.75,0.0
11,6.25,0.0
12,6.666666666666666,0.0
13,7.083333333333332,0.0
14,7.499999999999998,0.0
15,7.916666666666665,0.0
16,8.333333333333332,0.0
17,8.749999999999998,0.0
18,9.166666666666666,0.0
19,9.583333333333334,0.0
20,10.0,0.0
